with a smile,笑って
snow,雪
society,社会
soft,やわらかい
sometime,いつか
sorry,残念で
specific,特定の
spice,香辛料
spoke,話した
spread,を広げる
spread,広がった
spring,ばね
standard,基準
stay,滞在する
stick,棒
stone,石
story,物語
strange,奇妙な
strike,打つ
success,成功
such,そのような
sugar,砂糖
sun,太陽
surprised,驚いた
tall,背が高い
taught,教えた
technology,科学技術
than,よりも
these,これらの
thick,厚い
tiny,ごく小さな
tourist,観光客
tradition,伝統
translate,翻訳する
translation,翻訳
turn into,に変わる
twice,2倍、2度
uncle,おじ
understood,を理解した
unique,独特な
university,大学
usual,通常の
various,いろいろな
wake,目が覚める
wake up,目を覚ます
war,戦争
warm,温かい
watch,腕時計
wave,波
way,方法
weak,弱い
wear,着る
weigh,重さがある
weight,重さ
do well,元気になる
well-off,裕福な
west,西
when,するとき
which,どちらの
wide,幅が広い
wife,妻
wild,野生の
will,～するつもり
wind,風
wisdom,知恵
wish,望む
with,～と一緒に
woke,目が覚めた
wonder,～かなと思う
wonder,不思議
wood,木材
work,仕事
world,世界
writer,作家
wrote,書いた
young,若い
a kind of,一種の
above,上に，上記の
accept,を受け入れる
accident,事故
actually,実は，本当は
address,住所
affect,に影響を与える
after a while,しばらくして
agree,賛成する
agree with,に賛成する
ahead,前方に
all the time,常に
almost,ほとんど
already,すでに，もう
although,であるけれど
amaze,をびっくりさせる
amazing,驚くべき
amount,量，額
angry,怒った，腹を立てた
announce,を発表する
announcement,発表
any,どれもない
any,どんなでも
apply,当てはまる
arm,腕
army,陸軍
around,のまわりに
arrest,を逮捕する
arrow,矢
artistic,芸術的な
ashamed,恥じて
at,によって
attend,に通う，に出席する
audience,聴衆，観客
awake,目が覚める
awesome,すばらしい
back,裏の，後ろの
bake,焼く
ban,を禁止する
barber,散髪屋
battery,電池
be amazed at,に驚かされる
be different from,とはちがっている
be in danger of,の危険にさらされている
be ready for,の用意ができている
be satisfied with,に満足する
become,になった
beef,牛肉
begin,始まる
beginner,初心者
beginning,最初
behavior,ふるまい
believe,信じる
belong,のものである
below,下に，下記の
besides,そのうえ，さらに
beyond,をこえたところに
billion,10億
bit,少し
blood,血
blow,吹く
boil,ゆでる，煮る
bomb,爆弾
border,国境
born,生まれる
bother,面倒
bowl,鉢
brain,頭脳
branch,枝
break,壊れる，破る
breed,を飼育する，繁殖する
bright,明るい
brush,筆
building,建物
burden,負担，重荷
burn,を燃やす
calligraphy,書道
calm,落ちついた
cancer,がん
capture,を捕まえる
carbon dioxide,二酸化炭素
case,事例
case,容器
central,中心の
certain,確かな
change,変化
charge,を充電する
cheap,安い
check out,を調査する
chemical,化学物質
China,中国
Chinese,中国語
choose,選ぶ
circle,を丸で囲む
class,授業
clean,をそうじする
climate,気候
close,を閉じる，終える
cloth,布，服地
clothes,衣服
coal,石炭
college,大学
colony,植民地
colorful,色彩に富んだ
condition,状況
connect,つながる
consumer,消費者
contact,と連絡をとる
continue,続く
control,を管理する
convenient,便利な
corner,角，隅
could,できた
countryside,田舎
courage,勇気
course,進路
cover,覆う
crazy,気の狂った
creative,創造力のある
cross,を横切る，渡る
cry,泣く
curious,好奇心の強い
custom,習慣
custom-made,注文で作った
cut,を切る
daily,日常の
dam,ダム
damage,被害
dangerous,危険な
daughter,娘
dead,死んだ
death,死
debate,討論
decide to,しようと決心する
decision,決定
definitely,もちろん，確かに
depend,頼る
depend on,に頼る
desert,砂漠
design,を設計する
destroy,を破壊する
development,開発
device,装置
die,死ぬ
die out,絶滅する
difference,ちがい
disagree,意見が合わない
disaster,災害
discover,を発見する
discrimination,差別
discuss,話し合う
discussion,討論
disease,病気
domestic,国内の
donate,を寄付する
dot,点
drive,運転する
driver,運転手
drop,落ちる
drop out,中退する
drove,運転した
earthquake,地震
eat out,外食する
ecosystem,生態系
effective,効果的な
electricity,電力
electronic,電子の
electronic device,電子機器
else,その他に
emergency,緊急事態
employee,従業員
encourage,を勇気づける
encourage to ～,に～するように促す
endangered,絶滅の危機にさらされている
ending,終わり，結末
enemy,敵
engineer,開発者
environment,環境，状況
era,時代
establish,を設立する
evacuation,避難
evacuation drill,避難訓練
even if,たとえ～だとしても
event,行事
ever,今まで，かつて
every,どれもみな
every year,毎年
exam,試験
exception,例外
exchange,交換
exercise,練習する
expensive,高価な，費用のかかる
extend,を広げる
extinction,絶滅
extinguisher,消火器
fact,事実，現実
fall,落ちる，降る
fantastic,すばらしい
farmer,農場主
fast,速い
fat,太った
feather,羽
feel free to,遠慮なくする
fence,塀
fight,たたかう
fill,いっぱいにする
film,映画
final,最後の
finally,ついに，やっと
fire,火事
fire,を首にする，解雇する
first,はじめて
flat,平らな
flight,飛行
fly,飛ぶ
focus,集中する
fold,を折る，折りたたむ
follower,支持者
fond,好きで
foolish,愚かな
forth,前へ
fortunately,幸運にも
fossil fuel,化石燃料
found,を見つけた
fox,キツネ
freely,自由に
fresh,新鮮な
friendly,好意的な
fun,面白い
functional,実用的な
garage,車庫
gas,ガソリン
gentle,やさしい
gently,やさしく
get fired,解雇される
get out,外へ出る
get over,を乗りこえる
given,与えた
the globe,地球
go back,帰る，戻る
go on,する，始める
go on,時間が過ぎ去る
go through,人生を送る
god,神
government,政府
grade,等級
graduate,卒業する
graduation,卒業
grew,育った
grow,成長する
growth,増加
guide,を案内する
habit,習慣
hand,を手渡す
hand out,を配る
handle,を処理する
happily,幸せに，楽しく
health,健康
healthy,健康な
hear,を聞く
heard,聞いた
heat,熱
heaven,天国
held,握った
help,手伝う
high school,高校
himself,彼自身を
hit,打つ
holy,神聖な
honey,蜂蜜
hope to,したいと願う
hopeful,希望を持っている
horizon,地平線，水平線
How long ?,どれくらいの長さ？
How much ?,どれくらいの量？
human,人間の
human being,人間
human rights,人権
if,もし～ならば
illegal,違法な
illiterate,読み書きのできない
image,画像，印象
imagine,を想像する
import,を輸入する
in case of,の場合には
in season,旬で
in the open air,屋外で
in those days,当時は
include,を含む
increase,を増やす，増大させる
indeed,実に
independence,独立
injure,を傷つける
inner,内部の，内側の
instead,そのかわりに
instead of,のかわりに
instruction,指示
interdependent,相互に依存している
interest,興味
into,～の中へ
invent,を発明する
inventor,発明家
iron,鉄
jewel,宝石
joy,喜び
judge,審判員
just,たった今
keep,を保つ
kit,道具一式
lamp,明かり
large,大きい，広い
last,最後の
latest,最新の
law,法律
lawyer,弁護士
lazy,怠け者の
lead,を導く
leave,を置いていく
legacy,遺産
less,もっと少なく
let,～に～をさせる
limited,限られた
line,行，線
link,接続
lip,唇
list,表
little,小さい，かわいい
little,ほとんど～ない
long,長い
loss,失うこと，喪失
lost,失った
lost,道に迷った
lovely,美しい
lucky,幸運な
lullaby,子守歌
made,作った
magazine,雑誌
make,を～の状態にする
make all the difference,大きなちがいを生む
many,多くの
mark,印
marry,結婚する
match,試合
matter,問題，困ったこと
meant,意味した
merchant,商人
metal,金属
mind,精神
mini,小型の
mining,採鉱，採掘
mirror,鏡
mix,混ぜる
modern,現代的な
monthly,月に1回の
more,もっと
more and more,ますます多くの
more than,より多い
most,たいていの，大部分の
move,動く，引っ越す
movement,運動
musical,音楽の
negative,否定的な，良くない
neither,～も～もない
net,網
never,決してない
newspaper,新聞
violence,暴力
noisy,騒がしい
not at all,少しもない
not always,いつもとは限らない
not only but also ～,だけでなく～もまた
note,紙幣
nuclear,核の，原子力の
nuclear power,原子力
number,番号
ocean,大洋，海
oil,油，石油
on the way,帰る途中で
one by one,1つずつ
opinion,意見，考え
or,そうしなければ
or,すなわち，言いかえれば
order,注文する
ordinary,ふつうの
out,外に
outside,の外側に
over,の向こう側に
overseas,外国へ
pain,痛み
painter,画家
pair,一組
pal,友だち
palace,宮殿
pale,青ざめた
paper crane,折り鶴
parking lot,駐車場
pass by,通り過ぎる
peace,平和
peaceful,平和な
pencil,えんぴつ
perhaps,多分
period,時代
person,人，個人
personal,個人の
plastic bag,ビニールぶくろ
please,気に入る，喜ばせる
pleased,喜んで
poem,詩
poet,詩人
point,特徴，論点
point,点
police officer,警察官
policeman,警官
populous,人口の多い
pork,豚肉
positive,前向きな
possible,可能な
prepared,用意ができている
president,大統領
pretty,かわいい，きれいな
prince,王子
print,を印刷する
prize,賞
progress,進歩
promise,約束
protect,を守る，保護する
protest,抗議する
protest,抗議(運動)
pursue,を追い求める
quarter,4分の1
quick,速い
quietly,静かに，落ち着いて
quite,かなり，相当
race,競走
radiation,放射線
railway,鉄道
rain,雨
rainwater,雨水
rainy,雨の
raise,手などを挙げる
rapidly,速く，急速に
reach,に着く，到着する
real,本当の
receive,を受け取る
recently,最近
relate,を～に関係させる
relate to ～,を～に関係させる
relation,関係
relatively,比較的
release,を放出する
renewable,再生可能な
report,報告
researcher,研究者
resident,住民，居住者
resource,資源
respect,を尊敬する
rest,休む，眠る
rhyme,韻をふむ
rhythm,リズム，調子
right,権利
road,道路
root,根
rose,昇った
round,まわりに
row,こぐ
rule,支配，統治
run,を主催する
run away,逃げる
run out of,を使い果たす
rush,殺到
safely,安全に
said,言った
salt,塩，食塩
same,同じもの
satisfy,を満足させる
save,を救う
scared,こわがって
seasonal,季節の
second,秒
secret,秘密
seem,～の様に見える
senior,年上の，上級の
sent,送った
shade,陰，日陰
shake,震える
shaking,揺れ
shelter,避難所
shirt,シャツ
shoot,撃つ
side,側，面
sidewalk,歩道
